"Name","Disc. Date","mmax","Host Name","Host R.A.","Host Dec.","z","Type","Phot.","Spec.","X-ray"
"IGR J17361-4441","2003/03/22","","NGC 6388","17:36:17.46","-44:44:08.34","0.000271","Planet + WD","","","0"
"J094608","","","SDSS J094608.49+351222.4","09:46:08.49","+35:12:22.4","0.119","TDE?","","",""
"J094806","","","SDSS J094806.55+031801.9","09:48:06.55","+03:18:01.9","0.207","TDE?","","",""
"J233454","","","SDSS J233454.07+145712.8","23:34:54.07","+14:57:12.8","0.107","TDE?","","",""
"LEDA 095953","","","LEDA 095953","13:47:30.10","-32:54:52.00","0.0366","TDE?","","","0"
"NGC 247","","","NGC 247","00:47:08.55","-20:45:37.44","0.000531","Low-mass TDE","","",""
"NGC 3599","2002/05/27","","NGC 3599","11:15:26.95","+18:06:37.33","0.002699","TDE?","","","0"
"NGC 5905","1990/07/11","","NGC 5905","15:15:23.32","+55:31:01.59","0.01124","AGN?","","","0"
"NGC 6021","","","NGC 6021","15:57:30.68","+15:57:22.37","0.015607","","","",""
"NGC247","2014/07/01","","","","","","","","","0"
"PGC 015259","","","2MFGC 3645","04:29:21.82","-04:45:35.60","0.014665","","","",""
"PGC 1127938","","","2SLAQ J011844.35-010906.8","01:18:44.36","-01:09:06.87","0.02","","","",""
"PGC 1185375","","","2MASX J15035028+0107366","15:03:50.29","+01:07:36.70","0.00523","","","","0"
"PGC 1190358","","","N5846-162","15:05:28.75","+01:17:33.17","0.00766","","","","0"
"PGC 133344","","","6dFGS gJ214256.0-300758","21:42:55.98","-30:07:57.91","0.02365","","","",""
"PGC 170392","","","6dFGS gJ222646.4-150123","22:26:46.35","-15:01:23.04","0.016246","","","",""
"PS1-10adi","2010","","SDSS J204244.74+153032.1","20:42:44.74","+15:30:32.1","0.203","TDE?","","",""
"PS1-12yp","2012/03/01","","SDSS J133155.90+235405.8","13:31:55.90","+23:54:05.8","","","","","0"
"PS1-13jw","2013","","SDSS J084453.56+425744.8","08:44:53.56","+42:57:44.8","0.345","TDE?","","",""
"PTF10iya","2010/06/11","","SDSS J143840.98+373933.4","14:38:40.98","+37:39:33.45","0.22405","","","","0"
"PTF10nuj","2010","","SDSS J162624.66+544221.4","16:26:24.66","+54:42:21.44","0.132","","","","0"
"PTF11glr","2011","","SDSS J165406.16+412015.4","16:54:06.17","+41:20:15.45","0.207","","","","0"
"RBS 1032","1990/11/05","","SDSS J114726.69+494257.8","11:47:26.80","+49:42:59.00","0.026","","","","0"
"RX J1242-11A","1992/07/15","","RX J1242.6-1119A","12:42:36.90","-11:19:35.00","0.05","TDE?","","2","0"
"RX J1420+53","1990/07/11","","RX J1420.4+5334","14:20:24.37","+53:34:11.72","0.147","TDE?","","","0"
"RX J1624+75","1990/08/25","","RX J1624.9+7554","16:24:56.66","+75:54:56.09","0.0636","","","2","0"
"SDSSJ0159","2000/07/29","","SDSS J015957.64+003310.4","01:59:57.64","+00:33:10.49","0.31167","","","","0"
"SDSSJ0748","","","SDSS J074820.67+471214.3","07:48:20.67","+47:12:14.23","0.0615","","","","0"
"SDSSJ0952","2008/02/05","","SDSS J095209.56+214313.3","09:52:09.56","+21:43:13.24","0.0789","","","","0"
"SDSSJ1201","2010/06/10","","SDSS J120136.02+300305.5","12:01:36.03","+30:03:05.52","0.146","","","","0"
"SDSSJ1311","2004/02/28","","SDSS J131122.15-012345.6","11:22.2","-01:23:45.61","0.18","","","","0"
"SDSSJ1323","2003/12/02","","SDSS J132341.97+482701.3","13:23:41.97","+48:27:01.26","0.08754","TDE?","","","0"
"SDSSJ1342","2009/05/17","","SDSS J134244.41+053056.1","13:42:44.42","+05:30:56.14","0.0366","","","","0"
"SDSSJ1350","","","SDSS J135001.49+291609.7","13:50:01.51","+29:16:09.71","0.0777","","","","0"
"Swift J1112-82","2011/12/27","","Swift J1112.2-8238","11:11:47.80","-82:38:44.71","0.89","","","","0"
"Swift J1644+57","2011/03/29","","Swift J164449.3+573451","16:44:49.30","+57:34:51.00","0.3543","MS + SMBH","","","0"
"Swift J2058+05","2011/05/27","","Swift J205819.7+051329","20:58:19.85","+05:13:33.00","1.1853","","","","0"
"UGC 01791","","","UGC 1791","02:19:53.66","+28:14:52.60","0.015881","","","",""
"UGC 03317","","","UGC 3317","05:33:37.54","+73:43:26.30","0.004136","","","",""
"WINGS J1348","1999/12/20","","WINGS J134849.88+263557.5","13:48:49.9","+26:35:57.50","0.062","AGN?","","","0"
"XJ1231+1106","","","GJ1231+1106","12:31:03.24","+11:06:48.64","0.118","","","",""
"XJ1500+0154","","","SDSS J150052.07+015453.8","15:00:52.07","+01:54:53.8","0.145","MS + SMBH","","",""
